round_id,action_id,net_input,net_output,action,amount
1,1,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.1667, 0.2637, 0.2267,
          1.0000, 0.0133, 0.0200, 0.0133]]])",2.181529998779297e-05,fold,0
2,2,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.2291, 0.2126,
          1.0000, 0.0133, 0.0200, 0.0133]]])",-0.05709948390722275,fold,0
3,3,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.2264, 0.2278,
          1.0000, 0.0133, 0.0200, 0.0133]]])",-0.06691469997167587,fold,0
4,4,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.5627, 0.6381,
          0.9867, 0.0267, 0.0600, 0.0133]]])",0.09197437018156052,raise,160
5,5,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.5062, 0.5120,
          1.0400, 0.0067, 0.0200, 0.0133]]])",0.09236030280590057,raise,140
6,6,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.0000, 0.2549, 0.2184,
          1.0600, 0.0400, 0.0600, 0.0133]]])",0.02760153077542782,fold,0
7,7,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.1667, 0.3860, 0.4463,
          1.0600, 0.0133, 0.0200, 0.0133]]])",0.03911837562918663,raise,60
8,8,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.2335, 0.2715,
          1.0800, 0.0133, 0.0200, 0.0133]]])",-0.0426168255507946,fold,0
9,9,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.2041, 0.2412,
          1.0800, 0.0133, 0.0200, 0.0133]]])",-0.057979483157396317,fold,0
10,10,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000, 0.5791, 0.6552,
          1.0667, 0.0267, 0.0533, 0.0133]]])",0.10025560110807419,raise,180
10,11,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000, 0.5867, 0.6548,
          0.9600, 0.2400, 0.4800, 0.0133]]])",-0.0615057535469532,fold,0
11,12,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.5472, 0.5850,
          0.9533, 0.0067, 0.0200, 0.0133]]])",0.09085236489772797,raise,140
12,13,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.3333, 0.0000, 0.2551, 0.1811,
          0.9733, 0.0133, 0.0200, 0.0133]]])",0.05523493140935898,raise,80
13,14,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.5000, 0.1667, 0.1922, 0.1982,
          0.9933, 0.0133, 0.0200, 0.0133]]])",-0.02524605207145214,fold,0
14,15,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.6667, 0.3333, 0.1445, 0.1296,
          0.9933, 0.0133, 0.0200, 0.0133]]])",-0.08196399360895157,fold,0
15,16,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.8333, 0.5000, 0.1525, 0.1489,
          0.9933, 0.0200, 0.0300, 0.0200]]])",-0.0862429216504097,fold,0
17,17,"tensor([[[1.0000, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667, 0.4456, 0.4275,
          0.9933, 0.0100, 0.0300, 0.0200]]])",0.08608778566122055,raise,150
