round_id,action_id,hole_card,valid_actions,round_state,strat,action,amount
0,0,"['D8', 'HJ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20000, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19900}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 19950}], 'round_count': 1, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20000
2,1,"['D6', 'SQ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20150, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19750}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20100}], 'round_count': 3, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20150
3,2,"['HK', 'HK']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 19750}, {'action': 'raise', 'amount': {'max': 20250, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 19850}, 'side': [{'eligibles': ['uuid-1'], 'amount': 0}]}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'allin', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 0}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20150}], 'round_count': 4, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'paid': 19700, 'action': 'RAISE', 'add_amount': 19650, 'amount': 19750, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,fold,0
4,3,"['D2', 'ST']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20150, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19750}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20100}], 'round_count': 5, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20150
5,4,"['D8', 'H5']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 19750}, {'action': 'raise', 'amount': {'max': 20250, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 19850}, 'side': [{'eligibles': ['uuid-1'], 'amount': 0}]}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'allin', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 0}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20150}], 'round_count': 6, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'paid': 19700, 'action': 'RAISE', 'add_amount': 19650, 'amount': 19750, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,fold,0
6,5,"['DJ', 'CJ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20150, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19750}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20100}], 'round_count': 7, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20150
8,6,"['H7', 'SA']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20300, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19600}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20250}], 'round_count': 9, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20300
10,7,"['DK', 'D6']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20450, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19450}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20400}], 'round_count': 11, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20450
12,8,"['C7', 'HQ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20600, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19300}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20550}], 'round_count': 13, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20600
13,9,"['H8', 'C7']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20700, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 200}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19200}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20600}], 'round_count': 14, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'paid': 50, 'action': 'CALL', 'uuid': 'uuid-1', 'amount': 100}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,raise,20700
14,10,"['C9', 'H8']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20800, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19100}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20750}], 'round_count': 15, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20800
15,11,"['C2', 'H2']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 19100}, {'action': 'raise', 'amount': {'max': 20900, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 19200}, 'side': [{'eligibles': ['uuid-1'], 'amount': 0}]}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'allin', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 0}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20800}], 'round_count': 16, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'paid': 19050, 'action': 'RAISE', 'add_amount': 19000, 'amount': 19100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,fold,0
16,12,"['DA', 'HA']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20800, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 19100}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20750}], 'round_count': 17, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20800
18,13,"['CK', 'CJ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 100}, {'action': 'raise', 'amount': {'max': 20950, 'min': 200}}]","{'dealer_btn': 0, 'small_blind_amount': 50, 'pot': {'main': {'amount': 150}, 'side': []}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'participating', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 18950}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20900}], 'round_count': 19, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-2'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 0, 'small_blind_pos': 1}",,raise,20950
19,14,"['H4', 'CQ']","[{'action': 'fold', 'amount': 0}, {'action': 'call', 'amount': 18950}, {'action': 'raise', 'amount': {'max': 21050, 'min': 200}}]","{'dealer_btn': 1, 'small_blind_amount': 50, 'pot': {'main': {'amount': 19050}, 'side': [{'eligibles': ['uuid-1'], 'amount': 0}]}, 'next_player': 1, 'community_card': [], 'street': 'preflop', 'seats': [{'state': 'allin', 'name': 'candid_bot', 'uuid': 'uuid-1', 'stack': 0}, {'state': 'participating', 'name': 'lstm_bot', 'uuid': 'uuid-2', 'stack': 20950}], 'round_count': 20, 'action_histories': {'preflop': [{'action': 'SMALLBLIND', 'add_amount': 50, 'amount': 50, 'uuid': 'uuid-1'}, {'action': 'BIGBLIND', 'add_amount': 50, 'amount': 100, 'uuid': 'uuid-2'}, {'paid': 18900, 'action': 'RAISE', 'add_amount': 18850, 'amount': 18950, 'uuid': 'uuid-1'}]}, 'big_blind_pos': 1, 'small_blind_pos': 0}",,fold,0
round_id,action_id,hole_card,valid_actions,round_state,strat,action,amount
