round_id,action_id,net_input,net_output,action,amount
1,1,"[1.0, 0.0, 0.0, 0.0, 0.5, 0.1666666716337204, 0.2840372622013092, 0.267822265625, 1.0, 0.013333333656191826, 0.019999999552965164, 0.013333333656191826]",0.0763002559542656,raise,120
2,2,"[1.0, 0.0, 0.0, 0.0, 0.6666666865348816, 0.3333333432674408, 0.1589762419462204, 0.1374918669462204, 1.0199999809265137, 0.013333333656191826, 0.019999999552965164, 0.013333333656191826]",0.07680394500494003,raise,120
3,3,"[1.0, 0.0, 0.0, 0.0, 0.8333333134651184, 0.5, 0.1012369766831398, 0.086181640625, 1.0399999618530273, 0.013333333656191826, 0.019999999552965164, 0.013333333656191826]",0.08295485377311707,raise,120
4,4,"[1.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.5386962890625, 0.581787109375, 1.0466666221618652, 0.02666666731238365, 0.05999999865889549, 0.013333333656191826]",0.0821889191865921,raise,140
4,5,"[1.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.5543212890625, 0.5892333984375, 0.9666666388511658, 0.18666666746139526, 0.3799999952316284, 0.013333333656191826]",0.08049429208040237,fold,0
5,6,"[1.0, 0.0, 0.0, 0.0, 0.3333333432674408, 0.3333333432674408, 0.2143147736787796, 0.1632080078125, 0.9599999785423279, 0.03333333507180214, 0.05999999865889549, 0.013333333656191826]",0.07636213302612305,raise,120
5,7,"[1.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.1666666716337204, 0.3427734375, 0.2489013671875, 0.8866666555404663, 0.1599999964237213, 0.3333333432674408, 0.013333333656191826]",0.07657848298549652,fold,0
6,8,"[1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.1427205353975296, 0.1095784530043602, 0.8866666555404663, 0.03999999910593033, 0.05999999865889549, 0.013333333656191826]",0.07620862871408463,raise,120
7,9,"[1.0, 0.0, 0.0, 0.0, 0.5, 0.1666666716337204, 0.2473551481962204, 0.2018636018037796, 0.9466666579246521, 0.013333333656191826, 0.019999999552965164, 0.013333333656191826]",0.07626120746135712,raise,120
7,10,"[1.0, 0.0, 0.0, 0.0, 0.1666666716337204, 0.0, 0.5086669921875, 0.489013671875, 0.8666666746139526, 0.1599999964237213, 0.3333333432674408, 0.013333333656191826]",0.07812809944152832,fold,0
