action_id,hero_BBs,at_preflop,at_flop,at_turn,at_river,equity_preflop,equity_flop,equity_turn,equity_river,nb_players,action_fold,action_call,action_raise,amount,winnings
0,50,1,0,0,0,0.06,0.18,0.19,0.25,4,0,0,1,1.5,1.5
1,51.5,1,0,0,0,0.28,0.17,0.17,0.26,5,0,0,1,3,1.5
2,53,1,0,0,0,0.7,0.32,0.33,0.34,6,0,0,1,53,1.5
3,53.5,1,0,0,0,0.68,0.59,0.68,0.67,2,1,0,0,0,0
4,53,1,0,0,0,0.68,0.46,0.45,0.31,3,0,0,1,9,4.5
5,57.5,1,0,0,0,1,0.88,0.75,0.68,3,1,0,0,0,0
6,57.5,1,0,0,0,0.76,0.43,0.43,0.41,4,0,0,1,57.5,1.5
7,59,1,0,0,0,0.01,0.19,0.12,0.14,5,0,0,1,3,1.5
8,60.5,1,0,0,0,0.02,0.25,0.25,0.24,6,1,0,0,0,0
9,59.5,1,0,0,0,0.15,0.43,0.41,0.36,2,1,0,0,0,0
10,59,1,0,0,0,0.56,0.5,0.52,0.51,2,0,0,1,1.5,1.5
11,60.5,1,0,0,0,0.29,0.29,0.3,0.3,3,0,0,1,3,1.5
12,62,1,0,0,0,0.14,0.38,0.37,0.34,4,1,0,0,0,0
13,62,1,0,0,0,0.15,0.26,0.22,0.19,5,0,0,1,62,1.5
14,63.5,1,0,0,0,0.12,0.24,0.23,0.19,6,0,0,1,3,1.5
15,65,1,0,0,0,0.15,0.31,0.4,0.51,2,1,0,0,0,0
16,65,1,0,0,0,0.44,0.39,0.3,0.34,3,1,0,0,0,0
17,65,1,0,0,0,0.04,0.18,0.23,0.25,4,1,0,0,0,0
18,65,1,0,0,0,0.02,0.18,0.19,0.2,5,1,0,0,0,0
19,65,1,0,0,0,0,0.09,0.07,0.04,6,1,0,0,0,0
20,65,1,0,0,0,0.02,0.2,0.27,0.32,2,1,0,0,0,0
21,65,1,0,0,0,0.01,0.26,0.21,0.19,3,0,0,1,65,1.5
22,66.5,1,0,0,0,0.19,0.22,0.25,0.34,4,0,0,1,66.5,1.5
23,68,1,0,0,0,0.59,0.19,0.24,0.23,6,1,0,0,0,0
24,68,1,0,0,0,0,0.08,0.13,0.11,6,0,0,1,1.5,1.5
25,69.5,1,0,0,0,0.5,0.36,0.4,0.36,3,1,0,0,0,0
26,69.5,1,0,0,0,0.37,0.33,0.42,0.31,3,1,0,0,0,0
27,69.5,1,0,0,0,0.48,0.35,0.36,0.31,4,1,0,0,0,0
28,69.5,1,0,0,0,0.53,0.19,0.2,0.24,5,0,0,1,1.5,1.5
29,71,1,0,0,0,0.33,0.12,0.09,0.21,6,1,0,0,0,0
30,71,1,0,0,0,0.25,0.37,0.44,0.52,2,0,0,1,3,1.5
31,72.5,1,0,0,0,0.08,0.33,0.3,0.33,3,1,0,0,0,0
32,72.5,1,0,0,0,0.49,0.42,0.45,0.41,4,1,0,0,0,0
33,72.5,1,0,0,0,0.87,0.47,0.35,0.27,5,1,0,0,0,0
34,72.5,1,0,0,0,0.17,0.19,0.18,0.17,6,0,0,1,3,1.5
35,74,1,0,0,0,0.15,0.35,0.38,0.48,2,1,0,0,0,0
36,74,1,0,0,0,0.7,0.44,0.49,0.48,3,1,0,0,0,0
37,74,1,0,0,0,0.2,0.21,0.18,0.2,4,0,0,1,3,1.5
38,75.5,1,0,0,0,0.08,0.17,0.13,0.14,5,0,0,1,75.5,1.5
39,77,1,0,0,0,0,0.13,0.14,0.15,6,1,0,0,0,0
40,77,1,0,0,0,0.07,0.31,0.28,0.32,2,1,0,0,0,0
41,77,1,0,0,0,0.34,0.28,0.41,0.36,3,1,0,0,0,0
42,77,1,0,0,0,0.2,0.15,0.27,0.17,4,0,0,1,3,1.5
43,78.5,1,0,0,0,0.15,0.19,0.2,0.22,5,1,0,0,0,0
44,78.5,1,0,0,0,0.01,0.17,0.15,0.12,6,0,0,1,3,1.5
45,80,1,0,0,0,0.56,0.53,0.59,0.48,2,1,0,0,0,0
46,80,1,0,0,0,0.96,0.7,0.69,0.6,3,0,0,1,3,1.5
47,81.5,1,0,0,0,0.36,0.23,0.19,0.23,4,0,0,1,1.5,1.5
48,83,1,0,0,0,0.29,0.12,0.2,0.2,5,0,0,1,3,1.5
49,84.5,1,0,0,0,0.2,0.22,0.23,0.19,6,1,0,0,0,0
